"","race_grouping","aggregate_sentence_length"
"1","Non Indigenous",1095
"2","Non Indigenous",731
"3","Indigenous",912
"4","Indigenous",1233
"5","Non Indigenous",1056
"6","Indigenous",1136
"7","Non Indigenous",740
"8","Non Indigenous",5297
"9","Non Indigenous",1188
"10","Indigenous",1522
"11","Indigenous",2336
"12","Non Indigenous",2010
"13","Non Indigenous",1100
"14","Non Indigenous",2710
"15","Non Indigenous",1826
"16","Non Indigenous",1047
"17","Non Indigenous",2373
"18","Indigenous",1645
"19","Indigenous",3165
"20","Indigenous",3014
"21","Non Indigenous",858
"22","Non Indigenous",1096
"23","Non Indigenous",5479
"24","Non Indigenous",1182
"25","Non Indigenous",1096
"26","Indigenous",1338
"27","Non Indigenous",1091
"28","Non Indigenous",2283
"29","Non Indigenous",912
"30","Non Indigenous",731
"31","Non Indigenous",1096
"32","Non Indigenous",1643
"33","Indigenous",3606
"34","Non Indigenous",1279
"35","Indigenous",1671
"36","Non Indigenous",2679
"37","Indigenous",9040
"38","Non Indigenous",1096
"39","Indigenous",2464
"40","Non Indigenous",730
"41","Non Indigenous",731
"42","Non Indigenous",943
"43","Non Indigenous",1034
"44","Non Indigenous",731
"45","Non Indigenous",822
"46","Non Indigenous",1407
"47","Non Indigenous",2192
"48","Non Indigenous",915
"49","Non Indigenous",9740
"50","Non Indigenous",2079
"51","Indigenous",4615
"52","Non Indigenous",1157
"53","Indigenous",1016
"54","Non Indigenous",1461
"55","Non Indigenous",1710
"56","Indigenous",2008
"57","Non Indigenous",731
"58","Non Indigenous",2528
"59","Non Indigenous",2648
"60","Non Indigenous",2922
"61","Non Indigenous",2028
"62","Non Indigenous",731
"63","Non Indigenous",1096
"64","Indigenous",1280
"65","Non Indigenous",1254
"66","Non Indigenous",1369
"67","Non Indigenous",731
"68","Indigenous",731
"69","Non Indigenous",1400
"70","Non Indigenous",6645
"71","Non Indigenous",730
"72","Non Indigenous",2821
"73","Non Indigenous",2922
"74","Indigenous",805
"75","Non Indigenous",730
"76","Non Indigenous",2407
"77","Non Indigenous",1011
"78","Non Indigenous",730
"79","Non Indigenous",2191
"80","Non Indigenous",2695
"81","Non Indigenous",762
"82","Non Indigenous",731
"83","Indigenous",2648
"84","Indigenous",1096
"85","Non Indigenous",2080
"86","Non Indigenous",1658
"87","Non Indigenous",1308
"88","Non Indigenous",3652
"89","Non Indigenous",731
"90","Indigenous",1690
"91","Non Indigenous",1644
"92","Indigenous",1416
"93","Non Indigenous",973
"94","Indigenous",1163
"95","Non Indigenous",1018
"96","Indigenous",927
"97","Indigenous",996
"98","Non Indigenous",2191
"99","Indigenous",1707
"100","Non Indigenous",1461
"101","Non Indigenous",921
"102","Indigenous",731
"103","Non Indigenous",731
"104","Non Indigenous",1489
"105","Non Indigenous",1461
"106","Indigenous",3624
"107","Non Indigenous",1096
"108","Non Indigenous",1681
"109","Non Indigenous",1133
"110","Indigenous",1463
"111","Non Indigenous",1184
"112","Non Indigenous",1343
"113","Non Indigenous",2922
"114","Non Indigenous",1461
"115","Non Indigenous",2368
"116","Non Indigenous",776
"117","Non Indigenous",1096
"118","Non Indigenous",1052
"119","Indigenous",1657
"120","Non Indigenous",730
"121","Non Indigenous",6393
"122","Non Indigenous",912
"123","Non Indigenous",1918
"124","Non Indigenous",1096
"125","Non Indigenous",4718
"126","Non Indigenous",1167
"127","Indigenous",1496
"128","Non Indigenous",1544
"129","Non Indigenous",912
"130","Non Indigenous",2008
"131","Non Indigenous",1581
"132","Non Indigenous",732
"133","Non Indigenous",1461
"134","Non Indigenous",911
"135","Non Indigenous",1390
"136","Non Indigenous",1464
"137","Non Indigenous",6575
"138","Non Indigenous",1962
"139","Indigenous",976
"140","Indigenous",2191
"141","Non Indigenous",793
"142","Non Indigenous",731
"143","Non Indigenous",1090
"144","Indigenous",1483
"145","Indigenous",2434
"146","Non Indigenous",1004
"147","Non Indigenous",1461
"148","Non Indigenous",731
"149","Non Indigenous",1145
"150","Non Indigenous",2557
"151","Non Indigenous",1166
"152","Non Indigenous",4383
"153","Indigenous",1491
"154","Non Indigenous",1232
"155","Non Indigenous",1826
"156","Non Indigenous",1765
"157","Non Indigenous",1461
"158","Non Indigenous",1096
"159","Indigenous",1128
"160","Non Indigenous",731
"161","Non Indigenous",1461
"162","Indigenous",2694
"163","Non Indigenous",2813
"164","Indigenous",1249
"165","Indigenous",2313
"166","Indigenous",1095
"167","Non Indigenous",1096
"168","Non Indigenous",2800
"169","Indigenous",1614
"170","Non Indigenous",1371
"171","Non Indigenous",1242
"172","Non Indigenous",1893
"173","Non Indigenous",912
"174","Non Indigenous",2557
"175","Non Indigenous",2191
"176","Non Indigenous",730
"177","Non Indigenous",915
"178","Non Indigenous",1645
"179","Non Indigenous",2922
"180","Indigenous",2025
"181","Non Indigenous",730
"182","Non Indigenous",731
"183","Non Indigenous",3167
"184","Non Indigenous",1431
"185","Indigenous",1404
"186","Indigenous",924
"187","Non Indigenous",871
"188","Non Indigenous",1099
"189","Non Indigenous",935
"190","Non Indigenous",1461
"191","Indigenous",730
"192","Non Indigenous",2604
"193","Non Indigenous",792
"194","Non Indigenous",2120
"195","Non Indigenous",1176
"196","Indigenous",1537
"197","Non Indigenous",1643
"198","Indigenous",1112
"199","Indigenous",730
"200","Non Indigenous",1461
"201","Indigenous",731
"202","Non Indigenous",1095
"203","Non Indigenous",1782
"204","Non Indigenous",1050
"205","Non Indigenous",912
"206","Non Indigenous",1422
"207","Non Indigenous",835
"208","Non Indigenous",4155
"209","Non Indigenous",822
"210","Indigenous",1095
"211","Indigenous",853
"212","Indigenous",1642
"213","Non Indigenous",731
"214","Non Indigenous",730
"215","Non Indigenous",3208
"216","Indigenous",731
"217","Non Indigenous",1468
"218","Indigenous",6574
"219","Non Indigenous",884
"220","Non Indigenous",1096
"221","Indigenous",1003
"222","Non Indigenous",1826
"223","Non Indigenous",4624
"224","Indigenous",1210
"225","Non Indigenous",792
"226","Non Indigenous",1157
"227","Indigenous",1308
"228","Indigenous",730
"229","Non Indigenous",5479
"230","Non Indigenous",4748
"231","Non Indigenous",1491
"232","Non Indigenous",1278
"233","Non Indigenous",2375
"234","Indigenous",1012
"235","Non Indigenous",2457
"236","Non Indigenous",1384
"237","Indigenous",1508
"238","Non Indigenous",2178
"239","Non Indigenous",9557
"240","Non Indigenous",2191
"241","Non Indigenous",731
"242","Non Indigenous",731
"243","Non Indigenous",2740
"244","Indigenous",1400
"245","Non Indigenous",1766
"246","Non Indigenous",1348
"247","Non Indigenous",1081
"248","Indigenous",3522
"249","Indigenous",1492
"250","Non Indigenous",821
"251","Non Indigenous",3652
"252","Indigenous",2344
"253","Non Indigenous",911
"254","Non Indigenous",1964
"255","Non Indigenous",730
"256","Non Indigenous",6283
"257","Non Indigenous",1826
"258","Non Indigenous",1096
"259","Non Indigenous",1598
"260","Non Indigenous",1780
"261","Non Indigenous",930
"262","Non Indigenous",975
"263","Non Indigenous",2740
"264","Non Indigenous",2376
"265","Non Indigenous",2678
"266","Non Indigenous",821
"267","Non Indigenous",1185
"268","Non Indigenous",1238
"269","Non Indigenous",1111
"270","Non Indigenous",1082
"271","Non Indigenous",1415
"272","Indigenous",731
"273","Non Indigenous",851
"274","Non Indigenous",1096
"275","Indigenous",2221
"276","Non Indigenous",1642
"277","Non Indigenous",2922
"278","Non Indigenous",1826
"279","Non Indigenous",1126
"280","Indigenous",932
"281","Non Indigenous",1996
"282","Non Indigenous",1827
"283","Non Indigenous",848
"284","Non Indigenous",736
"285","Non Indigenous",1827
"286","Non Indigenous",2922
"287","Non Indigenous",1095
"288","Non Indigenous",1095
"289","Indigenous",1136
"290","Non Indigenous",1751
"291","Non Indigenous",974
"292","Non Indigenous",2436
"293","Non Indigenous",1208
"294","Non Indigenous",730
"295","Indigenous",999
"296","Non Indigenous",1095
"297","Non Indigenous",1826
"298","Non Indigenous",1095
"299","Non Indigenous",1142
"300","Non Indigenous",1922
"301","Non Indigenous",3165
"302","Non Indigenous",731
"303","Non Indigenous",2982
"304","Indigenous",730
"305","Indigenous",1461
"306","Non Indigenous",2617
"307","Non Indigenous",1736
"308","Non Indigenous",1827
"309","Non Indigenous",2891
"310","Non Indigenous",1096
"311","Non Indigenous",1216
"312","Non Indigenous",2665
"313","Non Indigenous",2556
"314","Non Indigenous",1034
"315","Non Indigenous",1582
"316","Non Indigenous",2145
"317","Non Indigenous",4337
"318","Non Indigenous",943
"319","Non Indigenous",1827
"320","Indigenous",1427
"321","Non Indigenous",822
"322","Non Indigenous",1298
"323","Non Indigenous",1096
"324","Non Indigenous",5027
"325","Non Indigenous",1049
"326","Non Indigenous",2191
"327","Indigenous",742
"328","Non Indigenous",1095
