0,1,2,3,4,5,6,7,8,9,10,11
Number,Race,Race Grouping,Gender,Age,Incarcerated/Supervised,Supervision Type,Sentence Type,Aggregate Sentence Length,Province,Marital Status,Religion
1,WHITE,Non Indigenous,MALE,35,Incarcerated,,DETERMINATE,1095,BRITISH COLUMBIA,SINGLE,CATH NON-SPEC
2,WHITE,Non Indigenous,MALE,59,Supervised,SR,DETERMINATE,731,QUEBEC,SINGLE,PROT NON-SPEC
3,METIS,Indigenous,MALE,39,Supervised,FP,DETERMINATE,912,ONTARIO,UNKNOWN,
4,NORTH AMERICAN,Indigenous,MALE,20,Incarcerated,,DETERMINATE,1233,MANITOBA,COMMON LAW,CHRI NON SPEC
5,NORTH AMERICAN,Indigenous,MALE,47,Supervised,FP,INDETERMINATE,0,ONTARIO,SINGLE,NONE
6,WHITE,Non Indigenous,MALE,33,Supervised,SR,DETERMINATE,1056,ONTARIO,SINGLE,CHRI NON SPEC
7,METIS,Indigenous,MALE,46,Incarcerated,,DETERMINATE,1136,QUEBEC,COMMON LAW,CATHOLIC - ROMA
8,,Non Indigenous,FEMALE,23,Incarcerated,,DETERMINATE,740,ALBERTA,COMMON LAW,NOT STATED
9,WHITE,Non Indigenous,MALE,39,Incarcerated,,DETERMINATE,5297,BRITISH COLUMBIA,MARRIED,NONE
10,WHITE,Non Indigenous,MALE,43,Supervised,SR,DETERMINATE,1188,ONTARIO,COMMON LAW,PROT NON-SPEC
11,NORTH AMERICAN,Indigenous,MALE,34,Incarcerated,,DETERMINATE,1522,BRITISH COLUMBIA,COMMON LAW,WICCA
12,NORTH AMERICAN,Indigenous,MALE,21,Incarcerated,,DETERMINATE,2336,ALBERTA,SINGLE,NONE
13,WHITE,Non Indigenous,MALE,29,Supervised,FP,DETERMINATE,2010,ONTARIO,SINGLE,CHRI NON SPEC
14,WHITE,Non Indigenous,FEMALE,25,Incarcerated,,DETERMINATE,1100,ALBERTA,SINGLE,NOT STATED
15,WHITE,Non Indigenous,MALE,35,Incarcerated,,DETERMINATE,2710,ONTARIO,MARRIED,CATHOLIC - ROMA
16,ARAB,Non Indigenous,MALE,26,Incarcerated,,DETERMINATE,1826,QUEBEC,SINGLE,MUSLIM
17,WHITE,Non Indigenous,MALE,53,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,SINGLE,CHRISTIAN & MIS
18,WHITE,Non Indigenous,MALE,78,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,DIVORCED,PROT NON-SPEC
19,WHITE,Non Indigenous,MALE,61,Incarcerated,,DETERMINATE,1047,NEW BRUNSWICK,MARRIED,UNITED CHURCH
20,WHITE,Non Indigenous,MALE,33,Supervised,SR,DETERMINATE,2373,QUEBEC,COMMON LAW,CATH NON-SPEC
21,NORTH AMERICAN,Indigenous,MALE,28,Incarcerated,,DETERMINATE,1645,ALBERTA,SINGLE,NATIVE SPIRITUA
22,NORTH AMERICAN,Indigenous,MALE,36,Incarcerated,,DETERMINATE,3165,NEW BRUNSWICK,COMMON LAW,CATHOLIC - ROMA
23,METIS,Indigenous,MALE,55,Incarcerated,,DETERMINATE,3014,QUEBEC,SINGLE,CATH NON-SPEC
24,WHITE,Non Indigenous,MALE,31,Incarcerated,,DETERMINATE,858,BRITISH COLUMBIA,SINGLE,NONE
25,NORTH AMERICAN,Indigenous,MALE,39,Incarcerated,,INDETERMINATE,0,SASKATCHEWAN,SINGLE,
26,WHITE,Non Indigenous,MALE,51,Incarcerated,,INDETERMINATE,0,NEW BRUNSWICK,SINGLE,ANGLICAN(EPIS.
27,WHITE,Non Indigenous,MALE,25,Incarcerated,,DETERMINATE,1096,ONTARIO,UNKNOWN,
28,WHITE,Non Indigenous,MALE,50,Supervised,FP,DETERMINATE,5479,ALBERTA,DIVORCED,BUDDHIST
29,WHITE,Non Indigenous,FEMALE,55,Incarcerated,,DETERMINATE,1182,ONTARIO,WIDOW(ER),CHRI NON SPEC
30,NORTH AMERICAN,Indigenous,MALE,78,Incarcerated,,INDETERMINATE,0,ALBERTA,WIDOW(ER),CATHOLIC - ROMA
31,ARAB,Non Indigenous,MALE,29,Supervised,SR,DETERMINATE,1096,QUEBEC,SINGLE,MUSLIM
32,WHITE,Non Indigenous,MALE,63,Incarcerated,,INDETERMINATE,0,SASKATCHEWAN,SINGLE,PROT NON-SPEC
33,NORTH AMERICAN,Indigenous,MALE,29,Incarcerated,,DETERMINATE,1338,SASKATCHEWAN,SINGLE,CHRI NON SPEC
34,WHITE,Non Indigenous,FEMALE,26,Supervised,DP,DETERMINATE,1091,NOVA SCOTIA,COMMON LAW,NOT STATED
35,ARAB,Non Indigenous,MALE,24,Incarcerated,,DETERMINATE,2283,QUEBEC,SINGLE,MUSLIM
36,WHITE,Non Indigenous,MALE,54,Incarcerated,,DETERMINATE,912,ONTARIO,NOT DETERMINED,CATHOLIC - ROMA
37,WHITE,Non Indigenous,MALE,56,Incarcerated,,DETERMINATE,731,QUEBEC,SINGLE,CATH NON-SPEC
38,WHITE,Non Indigenous,MALE,82,Incarcerated,,DETERMINATE,1096,QUEBEC,WIDOW(ER),CATH NON-SPEC
39,WHITE,Non Indigenous,MALE,40,Incarcerated,,INDETERMINATE,0,ALBERTA,SINGLE,CHRISTIAN & MIS
40,WHITE,Non Indigenous,MALE,39,Incarcerated,,INDETERMINATE,0,ALBERTA,SINGLE,MUSLIM
41,WHITE,Non Indigenous,MALE,50,Incarcerated,,INDETERMINATE,0,NEW BRUNSWICK,COMMON LAW,NONE
42,BLACK,Non Indigenous,MALE,45,Incarcerated,,DETERMINATE,1643,BRITISH COLUMBIA,MARRIED,PROT NON-SPEC
43,INUIT,Indigenous,MALE,47,Incarcerated,,DETERMINATE,3606,QUEBEC,SINGLE,ANGLICAN(EPIS.
44,BLACK,Non Indigenous,MALE,24,Supervised,FP,DETERMINATE,1279,ALBERTA,COMMON LAW,NONE
45,INUIT,Indigenous,MALE,24,Supervised,SR,DETERMINATE,1671,ONTARIO,SINGLE,NONE
46,WHITE,Non Indigenous,MALE,43,Supervised,FP,DETERMINATE,2679,QUEBEC,COMMON LAW,CATH NON-SPEC
47,NORTH AMERICAN,Indigenous,MALE,32,Incarcerated,,DETERMINATE,9040,NEW BRUNSWICK,COMMON LAW,NATIVE SPIRITUA
48,WHITE,Non Indigenous,MALE,46,Incarcerated,,INDETERMINATE,0,QUEBEC,SINGLE,CATH NON-SPEC
49,WHITE,Non Indigenous,MALE,34,Incarcerated,,DETERMINATE,1096,QUEBEC,SINGLE,CATH NON-SPEC
50,WHITE,Non Indigenous,MALE,61,Supervised,FP,INDETERMINATE,0,ONTARIO,MARRIED,CATH NON-SPEC
51,BLACK,Non Indigenous,MALE,47,Incarcerated,,INDETERMINATE,0,QUEBEC,SINGLE,BAPTIST
52,NORTH AMERICAN,Indigenous,MALE,23,Incarcerated,,DETERMINATE,2464,ONTARIO,SINGLE,NONE
53,NORTH AMERICAN,Indigenous,MALE,55,Supervised,DP,INDETERMINATE,0,ONTARIO,SINGLE,NATIVE SPIRITUA
54,S. E. ASIAN,Non Indigenous,MALE,41,Incarcerated,,DETERMINATE,730,ALBERTA,COMMON LAW,NONE
55,WHITE,Non Indigenous,MALE,26,Incarcerated,,DETERMINATE,731,QUEBEC,COMMON LAW,CATH NON-SPEC
56,WHITE,Non Indigenous,MALE,34,Incarcerated,,DETERMINATE,943,QUEBEC,SINGLE,NONE
57,S. E. ASIAN,Non Indigenous,MALE,39,Incarcerated,,DETERMINATE,1034,ONTARIO,UNKNOWN,SIKH
58,LATIN AMERICAN,Non Indigenous,MALE,43,Incarcerated,,INDETERMINATE,0,ALBERTA,SINGLE,CATHOLIC - ROMA
59,WHITE,Non Indigenous,FEMALE,29,Supervised,FP,DETERMINATE,731,NOVA SCOTIA,COMMON LAW,BAPTIST
60,WHITE,Non Indigenous,MALE,72,Supervised,DP,INDETERMINATE,0,QUEBEC,COMMON LAW,CATH NON-SPEC
61,WHITE,Non Indigenous,MALE,59,Incarcerated,,INDETERMINATE,0,ONTARIO,COMMON LAW,CHRISTIAN & MIS
62,BLACK,Non Indigenous,MALE,45,Incarcerated,,DETERMINATE,822,QUEBEC,COMMON LAW,MUSLIM
63,WHITE,Non Indigenous,MALE,59,Supervised,DP,DETERMINATE,1407,QUEBEC,WIDOW(ER),ATHEIST
64,WHITE,Non Indigenous,MALE,33,Incarcerated,,DETERMINATE,2192,MANITOBA,COMMON LAW,NONE
65,BLACK,Non Indigenous,MALE,41,Incarcerated,,DETERMINATE,915,ONTARIO,SEPARATED,
66,BLACK,Non Indigenous,MALE,59,Supervised,SR,DETERMINATE,9740,QUEBEC,SINGLE,SALVATION ARMY
67,ASI-E/SOUTHEAST,Non Indigenous,FEMALE,59,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,DIVORCED,CHRI NON SPEC
68,WHITE,Non Indigenous,MALE,26,Incarcerated,,DETERMINATE,2079,NEW BRUNSWICK,SINGLE,NONE
69,WHITE,Non Indigenous,MALE,42,Incarcerated,,INDETERMINATE,0,QUEBEC,SINGLE,CATH NON-SPEC
70,NORTH AMERICAN,Indigenous,MALE,24,Incarcerated,,DETERMINATE,4615,MANITOBA,SINGLE,NATIVE SPIRITUA
71,WHITE,Non Indigenous,MALE,39,Supervised,DP,DETERMINATE,1157,QUEBEC,COMMON LAW,CATH NON-SPEC
72,NORTH AMERICAN,Indigenous,MALE,36,Supervised,SR,DETERMINATE,1016,SASKATCHEWAN,SINGLE,
73,WHITE,Non Indigenous,MALE,38,Supervised,LTSO,DETERMINATE,1461,QUEBEC,SINGLE,CATH NON-SPEC
74,WHITE,Non Indigenous,MALE,73,Incarcerated,,INDETERMINATE,0,QUEBEC,COMMON LAW,CATH NON-SPEC
75,WHITE,Non Indigenous,MALE,30,Incarcerated,,DETERMINATE,1710,ONTARIO,UNKNOWN,OTHER
76,WHITE,Non Indigenous,MALE,67,Supervised,DP,INDETERMINATE,0,ONTARIO,SEPARATED,CATHOLIC - ROMA
77,WHITE,Non Indigenous,MALE,75,Supervised,FP,INDETERMINATE,0,ONTARIO,WIDOW(ER),CATH NON-SPEC
78,METIS,Indigenous,MALE,32,Incarcerated,,DETERMINATE,2008,BRITISH COLUMBIA,SEPARATED,NONE
79,WHITE,Non Indigenous,MALE,33,Supervised,FP,DETERMINATE,731,ALBERTA,DIVORCED,UNITED CHURCH
80,WHITE,Non Indigenous,MALE,48,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,SINGLE,CATH NON-SPEC
81,LATIN AMERICAN,Non Indigenous,MALE,31,Incarcerated,,DETERMINATE,2528,ALBERTA,SINGLE,MUSLIM
82,WHITE,Non Indigenous,MALE,53,Supervised,DP,DETERMINATE,2648,QUEBEC,UNKNOWN,
83,WHITE,Non Indigenous,MALE,60,Supervised,SR,DETERMINATE,2922,BRITISH COLUMBIA,SINGLE,NONE
84,WHITE,Non Indigenous,MALE,45,Incarcerated,,DETERMINATE,2028,QUEBEC,SINGLE,CATH NON-SPEC
85,WHITE,Non Indigenous,MALE,65,Supervised,FP,DETERMINATE,731,NFLD AND LAB,MARRIED,
86,,Non Indigenous,MALE,38,Supervised,SR,DETERMINATE,1096,QUEBEC,SINGLE,NONE
87,NORTH AMERICAN,Indigenous,MALE,45,Incarcerated,,DETERMINATE,1280,ALBERTA,SINGLE,
88,WHITE,Non Indigenous,MALE,32,Incarcerated,,DETERMINATE,1254,ALBERTA,SINGLE,CATHOLIC - ROMA
89,WHITE,Non Indigenous,MALE,33,Incarcerated,,DETERMINATE,1369,QUEBEC,COMMON LAW,CATH NON-SPEC
90,WHITE,Non Indigenous,MALE,63,Supervised,FP,INDETERMINATE,0,ONTARIO,SINGLE,PROT NON-SPEC
91,WHITE,Non Indigenous,MALE,53,Supervised,FP,DETERMINATE,731,QUEBEC,SINGLE,CATH NON-SPEC
92,NORTH AMERICAN,Indigenous,MALE,32,Supervised,SR,DETERMINATE,731,SASKATCHEWAN,MARRIED,
93,,Non Indigenous,MALE,43,Incarcerated,,DETERMINATE,1400,ONTARIO,UNKNOWN,
94,WHITE,Non Indigenous,MALE,34,Supervised,FP,INDETERMINATE,0,QUEBEC,SINGLE,MUSLIM
95,WHITE,Non Indigenous,MALE,35,Incarcerated,,DETERMINATE,6645,ALBERTA,COMMON LAW,NONE
96,BLACK,Non Indigenous,MALE,64,Supervised,FP,INDETERMINATE,0,NOVA SCOTIA,SINGLE,BAPTIST
97,WHITE,Non Indigenous,MALE,35,Incarcerated,,INDETERMINATE,0,ONTARIO,SINGLE,PROT NON-SPEC
98,WHITE,Non Indigenous,MALE,31,Incarcerated,,DETERMINATE,730,ONTARIO,COMMON LAW,CATHOLIC - ROMA
99,WHITE,Non Indigenous,MALE,27,Incarcerated,,DETERMINATE,2821,QUEBEC,SINGLE,
100,NORTH AMERICAN,Indigenous,MALE,27,Incarcerated,,INDETERMINATE,0,MANITOBA,COMMON LAW,NATIVE SPIRITUA
101,LATIN AMERICAN,Non Indigenous,MALE,52,Supervised,FP,DETERMINATE,2922,ALBERTA,MARRIED,CATH NON-SPEC
102,NORTH AMERICAN,Indigenous,MALE,23,Incarcerated,,DETERMINATE,805,ONTARIO,UNKNOWN,NATIVE SPIRITUA
103,WHITE,Non Indigenous,MALE,36,Incarcerated,,DETERMINATE,730,ALBERTA,SINGLE,NONE
104,NORTH AMERICAN,Indigenous,MALE,35,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,MARRIED,BAPTIST
105,BLACK,Non Indigenous,MALE,28,Incarcerated,,DETERMINATE,2407,MANITOBA,SINGLE,CHRI NON SPEC
106,WHITE,Non Indigenous,MALE,42,Incarcerated,,DETERMINATE,1011,ALBERTA,SINGLE,CHRI NON SPEC
107,WHITE,Non Indigenous,MALE,27,Supervised,FP,DETERMINATE,730,NFLD AND LAB,COMMON LAW,CATH NON-SPEC
108,NORTH AMERICAN,Indigenous,MALE,73,Supervised,FP,INDETERMINATE,0,ONTARIO,COMMON LAW,PROT NON-SPEC
109,WHITE,Non Indigenous,MALE,46,Incarcerated,,DETERMINATE,2191,ONTARIO,SEPARATED,BAPTIST
110,ARAB,Non Indigenous,MALE,28,Incarcerated,,DETERMINATE,2695,BRITISH COLUMBIA,SINGLE,MUSLIM
111,WHITE,Non Indigenous,FEMALE,40,Supervised,SR,DETERMINATE,762,ONTARIO,SINGLE,NONE
112,WHITE,Non Indigenous,MALE,59,Supervised,FP,INDETERMINATE,0,QUEBEC,WIDOW(ER),CATH NON-SPEC
113,WHITE,Non Indigenous,MALE,29,Incarcerated,,INDETERMINATE,0,QUEBEC,SINGLE,CATH NON-SPEC
114,WHITE,Non Indigenous,MALE,34,Supervised,SR,DETERMINATE,731,NEW BRUNSWICK,COMMON LAW,NONE
115,NORTH AMERICAN,Indigenous,MALE,37,Incarcerated,,DETERMINATE,2648,SASKATCHEWAN,SINGLE,OTHER
116,METIS,Indigenous,MALE,32,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,COMMON LAW,CATHOLIC - ROMA
117,NORTH AMERICAN,Indigenous,FEMALE,52,Supervised,SR,DETERMINATE,1096,MANITOBA,MARRIED,CATHOLIC - ROMA
118,WHITE,Non Indigenous,MALE,32,Supervised,SR,DETERMINATE,2080,BRITISH COLUMBIA,SINGLE,CHRI NON SPEC
119,WHITE,Non Indigenous,MALE,37,Incarcerated,,DETERMINATE,1658,QUEBEC,COMMON LAW,BUDDHIST
120,WHITE,Non Indigenous,MALE,40,Incarcerated,,INDETERMINATE,0,NEW BRUNSWICK,SINGLE,ASATRUAR PAGAN
121,WHITE,Non Indigenous,MALE,70,Incarcerated,,DETERMINATE,1308,QUEBEC,SINGLE,CATH NON-SPEC
122,UNABLE SPECIFY,Non Indigenous,MALE,38,Supervised,DP,DETERMINATE,3652,BRITISH COLUMBIA,SINGLE,CATHOLIC - ROMA
123,WHITE,Non Indigenous,MALE,32,Supervised,SR,DETERMINATE,731,ALBERTA,SINGLE,CATHOLIC - ROMA
124,INUIT,Indigenous,MALE,29,Incarcerated,,DETERMINATE,1690,ONTARIO,COMMON LAW,ANGLICAN(EPIS.
125,WHITE,Non Indigenous,MALE,54,Supervised,SR,DETERMINATE,1644,ONTARIO,COMMON LAW,NONE
126,INUIT,Indigenous,MALE,24,Incarcerated,,DETERMINATE,1416,QUEBEC,COMMON LAW,CATH NON-SPEC
127,BLACK,Non Indigenous,MALE,34,Supervised,FP,DETERMINATE,973,ONTARIO,UNKNOWN,
128,NORTH AMERICAN,Indigenous,MALE,30,Incarcerated,,INDETERMINATE,0,ONTARIO,SINGLE,NATIVE SPIRITUA
129,WHITE,Non Indigenous,MALE,65,Incarcerated,,INDETERMINATE,0,ONTARIO,MARRIED,PROT NON-SPEC
